riddle,score
"Sorry, we can't make a very good riddle with this startword.",0
What is found at at hotel/ but can't smell bad/? mirror/!,1
What is a form of energy/ but can't brown out/? power/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at garage/ but can't need to repaired/? equipment/!,0
What is a where land meets sea/ but doesn't have one side water other land/? cost/!,0
What is found at classroom/ but can't include index/? curriculum/!,1.5
What is found at backseat of car/ but can't arrive early/? bag/!,1.5
What is a anatomical structure/n/ but doesn't have organs/? face/!,1
What is a bird/ but can't land on ocean's surface/? martin/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What is found at apartment/ but doesn't have back/? gate/!,0
What is found at air/ but can't drop bomb/? sound/!,1.5
What is found at bag/ but can't act finicky/? sugar/!,1
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at school/ but isn't found at aquaduct/? science/!,0
What is related to after/ but can't can begin to leak/? autumn/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is a adjective/ but can't cause shivering/? new/!,1
What is found at anything/ but isn't found at construction/? stuff/!,0
What is found at car/ but can't cool car/? fuel/!,2
What is found at city/ but isn't found at air port/? war/!,0.5
What is found at book/ but isn't found at aquarium store/? cover/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at disneyland/ but isn't found at circus/? character/!,2
"Sorry, we can't make a very good riddle with this startword.",0
What can dress herself/ but can't act guilty/? adult/!,0
What is related to about/ but can't can begin to leak/? concern/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at city hall/ but can't decide upon budgets/? council/!,0
What is related to crash/ but can't cause acquired brain injury/? incident/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at body/ but isn't found at animal/? leg/!,0
What is found at floor/ but can't stiffen sail/? newspaper/!,1
What is found at field/ but can't build elaborate underground dwellings/? sport/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
What is found at map/ but can't divide two countries/? street/!,0.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a collection of things/ but doesn't have identity element/? set/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a musical artist/n/ but is not a interpetor/? tony/!,0
What is found at roof/ but can't can begin to leak/? football/!,0.5
What is a feeling/ but isn't part of human/? hope/!,1.5
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at house/ but doesn't have strings/? uncle/!,1
What is a object/ but can't arm itself/? target/!,0.5
What is a rule/ but can't indicate time for lights out/? standard/!,1.5
What is found at california/ but can't bridge ravine/? coast/!,1.5
What is found at antarctica/ but can't arrives with storm/? ice/!,0
What is found at airport/ but isn't found at advertising agency/? air/!,0
What likes fly/ but can't absorb moisture/? bird/!,0.5
What can right wrong/ but can't prove case/? right/!,0
What is found at country/ but can't shoulder earth/? lake/!,0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is used for explain/ but can't appear false/? example/!,3
What is a band/n/ but is not a automobile/n/? opposition/!,0
What is found at computer/ but can't carry passengers/? memory/!,2
What is found at chemistry lab/ but can't burn flesh/? iron/!,2
What is found at car/ but can't cool car/? oil/!,2
What is found at quandry/ but can't dry out/? problem/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What can near conclusion/ but can't cost lot of money/? task/!,0
What is found at auditorium/ but can't crowd around singer/? row/!,2
"Sorry, we can't make a very good riddle with this startword.",0
"Sorry, we can't make a very good riddle with this startword.",0
What is a season/ but isn't part of bullwhip/n/? summer/!,3
What is found at chemistry lab/ but isn't found at beer/? acid/!,1
"Sorry, we can't make a very good riddle with this startword.",0
What is found at air/ but can't arrive at airport/? aircraft/!,0
What is found at drink/ but can't hold liquids/? bottle/!,0
What is found at alaska/ but can't kill chickens/? snow/!,1.5
What is related to about/ but can't can begin to leak/? amount/!,0.5
What is a female/n/ but is not a animal/n/? woman/!,3
What is found at greece/ but isn't found at athens/? bath/!,0
What is a spokesperson/n/ but is not a person/n/? spokesman/!,0
"Sorry, we can't make a very good riddle with this startword.",0
What is found at parliament/ but can't advance agendas/? minister/!,0
What is found at continent/ but can't arm itself with weaponry/? land/!,1.5
What is found at top of mountain/ but can't blow hard/? beauty/!,1.5
